country_iso3,year,pillar_code,trajectory_class,trajectory_signal,intervention_family_label,country_sovereign_alert_level
TCD,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
TCD,2024,PMIL,ACCELERATING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
TCD,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
TCD,2024,PMON,CRITICAL,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
TCD,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
TCD,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
TCD,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
TGO,2024,PECO,DECLINING,DETERIORATION_ALERT,Diversification économique,YELLOW
TGO,2024,PENV,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,YELLOW
TGO,2024,PGEO,DECLINING,DECLINE_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
TGO,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
TGO,2024,PMIL,STABLE,STABILITY_SIGNAL,Résilience sécuritaire,YELLOW
TGO,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
TGO,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
TGO,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
TGO,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
TGO,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
TUN,2024,PECO,CRITICAL,DETERIORATION_ALERT,Diversification économique,YELLOW
TUN,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
TUN,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
TUN,2024,PHUM,CRITICAL,DECLINE_SIGNAL,Capital humain,YELLOW
TUN,2024,PMIL,ACCELERATING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
TUN,2024,PMIN,DECLINING,DECLINE_SIGNAL,Chaîne de valeur minière,YELLOW
TUN,2024,PMON,STABLE,STABILITY_SIGNAL,Résilience monétaire et financière,YELLOW
