country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
NER,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NER,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NER,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NGA,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
NGA,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
NGA,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NGA,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NGA,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
RWA,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
RWA,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
RWA,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
RWA,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
RWA,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SDN,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SDN,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
SDN,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SDN,2023,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SDN,2024,AFN,Afrique du Nord,DETERIORATING,ORANGE,10,OFFICIAL_CONSOLIDATED
SEN,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SEN,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SEN,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SEN,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SEN,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SLE,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SLE,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SLE,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SLE,2023,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SLE,2024,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SOM,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SOM,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SOM,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SOM,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SOM,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SSD,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SSD,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SSD,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SSD,2023,AFE,Afrique de l'Est,STABLE,ORANGE,10,OFFICIAL_CONSOLIDATED
SSD,2024,AFE,Afrique de l'Est,STABLE,ORANGE,10,OFFICIAL_CONSOLIDATED
STP,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
STP,2021,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
STP,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
STP,2023,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
STP,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SWZ,2020,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SWZ,2021,AFS,Afrique Australe,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
SWZ,2022,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SWZ,2023,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SWZ,2024,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SYC,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SYC,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
SYC,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SYC,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
SYC,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TCD,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TCD,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
TCD,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TCD,2023,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TCD,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TGO,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TGO,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TGO,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TGO,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TGO,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TUN,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TUN,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
TUN,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TUN,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TUN,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TZA,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TZA,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
TZA,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TZA,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
TZA,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
UGA,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
UGA,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
UGA,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
UGA,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
UGA,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZAF,2020,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
